"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","Parent - Operation","Previous ACWP","Previous Provider ACWP","Previous ETC","Previous EAC","EAC Growth"
"471","1","            ","            ","WDB","          ","980","9","13","301","301","900","900","0","933235","    L3000-000002","10","Q2-2012 PURCHASING LOE SUPPORT","3003","100","60.00","60.00","60.00","60.00","4.00","0.00","0.00","0.00","0.00","4.00","15.000 ","15.000 ","5/29/2012","6/29/2012","5/29/2012","6/29/2012","    L3000-000002-10","4","0","0","4","0.00 "
"471","1","            ","            ","WDE","          ","980","9","13","301","301","900","900","0","934016","    L3000-000010","10","Q4-2012 SUPPORT CAM DUTIES LOE","3016","100","56.00","56.00","56.00","56.00","0.00","0.00","0.00","0.00","0.00","0.00","","","10/1/2012","12/21/2012","10/1/2012","12/21/2012","    L3000-000010-10","0","0","0","0","0.00 "
"471","1","            ","            ","0","          ","980","9","20","301","301","900","900","0","932682","    L3000-990000","980","BUDGET FOR PURCHASING         ","3098","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L3000-990000-980","0","0","0","0","0.00 "
"","","","","","","","","","301 Total","","","","","","","","","","","6530.00","6530.00","6527.56","6527.56","18697.85","1515.00","0.00","0.00","0.00","20212.85","","","","","","","","18629.61","0","1578","20207.61","5.24 "
"471","1","            ","            ","4TL","          ","813","2","13","350","350","900","900","0","939316","    L6500-000414","10","Q4-2013 CHANGE PROCESSING     ","3014","100","0.00","100.00","0.00","100.00","222.54","0.00","0.00","0.00","0.00","222.54","0.000 ","0.449 ","9/30/2013","12/23/2013","9/30/2013","12/23/2013","    L6500-000414-10","222.54","0","0","222.54","0.00 "
"471","1","            ","            ","WH8","          ","813","2","13","350","350","900","900","0","939330","    L6500-000415","10","Q1-2014 CHANGE PROCESSING     ","3014","100","0.00","200.00","0.00","200.00","537.49","0.00","0.00","0.00","0.00","537.49","0.000 ","0.372 ","1/2/2014","3/28/2014","1/2/2014","3/28/2014","    L6500-000415-10","537.49","0","0","537.49","0.00 "
"471","1","            ","            ","4TR","          ","813","2","13","350","350","900","900","0","939331","    L6500-000416","10","Q2-2014 CHANGE PROCESSING     ","3014","100","0.00","300.00","0.00","300.00","379.18","0.00","0.00","0.00","0.00","379.18","0.000 ","0.791 ","3/31/2014","6/27/2014","3/31/2014","6/27/2014","    L6500-000416-10","379.18","0","0","379.18","0.00 "
"471","1","            ","            ","4TU","          ","813","2","13","350","350","900","900","0","939332","    L6500-000417","10","Q3-2014 CHANGE PROCESSING     ","3014","100","0.00","400.00","0.00","400.00","425.63","0.00","0.00","0.00","0.00","425.63","0.000 ","0.940 ","6/30/2014","9/26/2014","6/30/2014","9/26/2014","    L6500-000417-10","425.63","0","0","425.63","0.00 "
"471","1","            ","            ","4TW","          ","813","2","13","350","350","900","900","0","939333","    L6500-000418","10","Q4-2014 CHANGE PROCESSING     ","3014","100","0.00","600.00","0.00","600.00","606.74","0.00","0.00","0.00","0.00","606.74","0.000 ","0.989 ","9/29/2014","12/23/2014","9/29/2014","12/23/2014","    L6500-000418-10","606.74","0","0","606.74","0.00 "
"471","1","            ","            ","WH8","          ","813","2","13","350","350","900","900","0","940379","    L6500-000425","10","Q1-2014 OUTSOURCE EFFORTS     ","3014","100","0.00","180.00","0.00","180.00","18.25","0.00","0.00","0.00","0.00","18.25","0.000 ","9.863 ","1/2/2014","3/28/2014","1/2/2014","3/28/2014","    L6500-000425-10","18.25","0","0","18.25","0.00 "
"471","1","            ","            ","4TR","          ","813","2","13","350","350","900","900","0","940380","    L6500-000426","10","Q2-2014 OUTSOURCE EFFORTS     ","3014","100","0.00","260.00","0.00","260.00","133.05","0.00","0.00","0.00","0.00","133.05","0.000 ","1.954 ","3/31/2014","6/27/2014","3/31/2014","6/27/2014","    L6500-000426-10","133.05","0","0","133.05","0.00 "
"471","1","            ","            ","4TU","          ","813","2","13","350","350","900","900","0","940381","    L6500-000427","10","Q3-2014 OUTSOURCE EFFORTS     ","3014","100","0.00","260.00","0.00","260.00","260.95","0.00","0.00","0.00","0.00","260.95","0.000 ","0.996 ","6/30/2014","9/26/2014","6/30/2014","9/26/2014","    L6500-000427-10","260.95","0","0","260.95","0.00 "
"471","1","            ","            ","4TW","          ","813","2","13","350","350","900","900","0","940382","    L6500-000428","10","Q4-2014 OUTSOURCE EFFORTS     ","3014","100","0.00","260.00","0.00","260.00","407.37","0.00","0.00","0.00","0.00","407.37","0.000 ","0.638 ","9/29/2014","12/23/2014","9/29/2014","12/23/2014","    L6500-000428-10","407.37","0","0","407.37","0.00 "
"471","1","            ","            ","3XN","          ","813","2","13","350","350","900","900","0","944508","    L6500-000456","10","Q1-2016 LOE PP&C SCM          ","3014","100","0.00","120.00","0.00","120.00","99.26","0.00","0.00","0.00","0.00","99.26","0.000 ","1.209 ","1/4/2016","3/25/2016","1/4/2016","3/25/2016","    L6500-000456-10","99.26","0","0","99.26","0.00 "
"471","1","            ","            ","3XP","          ","813","2","13","350","350","900","900","0","944543","    L6500-000457","10","Q2-2016 LOE PP&C SCM          ","3014","100","0.00","390.00","0.00","390.00","367.67","0.00","0.00","0.00","0.00","367.67","0.000 ","1.061 ","3/28/2016","6/24/2016","3/28/2016","6/24/2016","    L6500-000457-10","367.67","0","0","367.67","0.00 "
"471","1","            ","            ","ZVT","          ","813","2","13","350","350","900","900","0","944548","    L6500-000458","10","Q3-2016 LOE PP&C SCM          ","3014","100","0.00","650.00","0.00","650.00","450.50","0.00","0.00","0.00","0.00","450.50","0.000 ","1.443 ","6/27/2016","9/30/2016","6/27/2016","9/30/2016","    L6500-000458-10","450.5","0","0","450.5","0.00 "
"471","1","            ","            ","ZVX","          ","813","2","13","350","350","900","900","0","944549","    L6500-000459","10","Q-FINAL LOE PP&C SCM          ","3014","99.8","0.00","910.00","0.00","908.18","217.71","544.00","0.00","0.00","0.00","761.71","0.000 ","4.172 ","10/3/2016","12/22/2016","10/3/2016","6/23/2017","    L6500-000459-10","211.13","0","576","787.13","(25.42)"
"471","1","            ","            ","FHP","          ","813","2","14","350","350","900","900","0","937507","    L6500-000126","10","SOC 1 MOD E1US1 PREP & RELEASE","3012","100","14.00","14.00","14.00","14.00","134.60","0.00","0.00","0.00","0.00","134.60","0.104 ","0.104 ","10/17/2013","11/13/2013","9/27/2013","10/25/2013","    L6500-000126-10","134.6","0","0","134.6","0.00 "
"471","1","            ","            ","4U7","          ","813","2","13","350","350","900","900","0","939270","    L6500-000409","10","Q2-2015 RWRK/CHNGE PROCESSING ","3014","100","75.00","75.00","75.00","75.00","567.78","0.00","0.00","0.00","0.00","567.78","0.132 ","0.132 ","3/30/2015","6/26/2015","3/30/2015","6/26/2015","    L6500-000409-10","567.78","0","0","567.78","0.00 "
"471","1","            ","            ","WH8","          ","813","2","13","350","350","900","900","0","934838","    L6500-000056","10","Q1-2014 PLANNER LOE           ","3014","100","418.00","418.00","418.00","418.00","2992.64","0.00","0.00","0.00","0.00","2992.64","0.140 ","0.140 ","1/2/2014","3/28/2014","1/2/2014","3/28/2014","    L6500-000056-10","2992.64","0","0","2992.64","0.00 "
"471","1","            ","            ","4KM","          ","813","2","14","350","350","900","900","0","937513","    L6500-000132","10","SOC 1 MOD A1UD1 PREP & RELEASE","3012","100","8.00","8.00","8.00","8.00","49.40","0.00","0.00","0.00","0.00","49.40","0.162 ","0.162 ","11/6/2013","12/5/2013","12/2/2013","9/2/2014","    L6500-000132-10","49.4","0","0","49.4","0.00 "
"471","1","            ","            ","4TR","          ","813","2","13","350","350","900","900","0","934839","    L6500-000057","10","Q2-2014 PLANNER LOE           ","3014","100","640.00","640.00","640.00","640.00","3478.30","0.00","0.00","0.00","0.00","3478.30","0.184 ","0.184 ","3/31/2014","6/27/2014","3/31/2014","6/27/2014","    L6500-000057-10","3478.3","0","0","3478.3","0.00 "
"471","1","            ","            ","FEE","          ","813","2","14","350","350","900","900","0","937234","    L6500-000083","10","SOC 2 MOD A1LS1 PREP & RELEASE","3012","100","14.00","14.00","14.00","14.00","73.50","0.00","0.00","0.00","0.00","73.50","0.190 ","0.190 ","6/28/2013","7/26/2013","7/29/2013","12/17/2013","    L6500-000083-10","73.5","0","0","73.5","0.00 "
"471","1","            ","            ","4K6","          ","813","2","14","350","350","900","900","0","937782","    L6500-000352","10","SOC 4 MOD D2MM1 PREP & RELEASE","3012","100","4.00","4.00","4.00","4.00","20.60","0.00","0.00","0.00","0.00","20.60","0.194 ","0.194 ","12/12/2014","1/19/2015","8/12/2014","2/25/2015","    L6500-000352-10","20.6","0","0","20.6","0.00 "
