"Project","Provider","CLIN","Effort","Activity","Control Account","ECP/REA","Change Code","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","Parent - Operation","Previous ACWP","Previous Provider ACWP","Previous ETC","Previous EAC","EAC Growth"
"485","1","            ","            ","DYE","1.34.1.1.1.3.E1L.MFG-AF                 ","          ","    ","110","1","1","621","641","E1L  ","E1L   ","1","","    E1L00-110003","10","E1L MODS FAB STRUCTURALS      ","2","0","0.00","95.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","10/17/2017","11/6/2017","11/22/2017","12/14/2017","    E1L00-110003-10","0","0","0","0","0.00 "
"485","1","            ","            ","DNZ","1.34.1.1.1.3.E1L.MFG-AF                 ","          ","    ","622","6","1","621","621","E1L  ","E1L   ","53","","    E1L00-622001","10","E1L SUB 622 GRT/STAN          ","4","0","0.00","10.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","11/21/2017","11/30/2017","1/10/2018","1/18/2018","    E1L00-622001-10","0","0","0","0","0.00 "
"485","1","            ","            ","DNY","1.34.1.1.1.3.E1L.MFG-AF                 ","          ","    ","622","6","1","621","641","E1L  ","E1L   ","53","","    E1L00-622002","10","E1L FAB 622 PADS/GRT/STAN     ","3","0","0.00","131.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","11/7/2017","11/20/2017","12/15/2017","1/9/2018","    E1L00-622002-10","0","0","0","0","0.00 "
"485","1","            ","            ","888","                                        ","          ","    ","259","2","1","621","621","E1UD1","E1UD1 ","1","","    E1UD1-259017","10","E1UD1 FAB/SUB 259 INTAKE FLGS ","4","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    E1UD1-259017-10","0","0","0","0","0.00 "
"485","1","            ","            ","DYG","1.34.1.1.1.3.E2L.MFG-AF                 ","          ","    ","110","1","1","621","641","E2L  ","E2L   ","1","","    E2L00-110001","10","E2L MODS FAB N/C              ","3","0","316.00","402.00","0.00","0.00","0.00","402.00","0.00","0.00","0.00","402.00","","","7/26/2017","8/30/2017","10/2/2017","11/6/2017","    E2L00-110001-10","0","0","402","402","0.00 "
"485","1","            ","            ","DYG","1.34.1.1.1.3.E2L.MFG-AF                 ","          ","    ","110","1","1","621","641","E2L  ","E2L   ","1","","    E2L00-110002","10","E2L MODS FORM PARTS           ","3","0","170.00","198.00","0.00","0.00","0.00","198.00","0.00","0.00","0.00","198.00","","","7/26/2017","8/30/2017","10/2/2017","11/6/2017","    E2L00-110002-10","0","0","198","198","0.00 "
"485","1","            ","            ","DYG","1.34.1.1.1.3.E2L.MFG-AF                 ","          ","    ","110","1","1","621","641","E2L  ","E2L   ","1","","    E2L00-110003","10","E2L MODS FAB STRUCTURALS      ","2","0","367.00","447.00","0.00","0.00","0.00","447.00","0.00","0.00","0.00","447.00","","","7/26/2017","8/30/2017","10/2/2017","11/6/2017","    E2L00-110003-10","0","0","447","447","0.00 "
"485","1","            ","            ","APV","1.34.1.1.1.3.E2L.MFG-AF                 ","          ","    ","110","1","1","621","621","E2L  ","E2LS1 ","2","","    E2L00-110025","10","E2LS1 SUB ASSEMBLIES A        ","4","0","0.00","38.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","11/7/2017","12/4/2017","12/19/2017","1/25/2018","    E2L00-110025-10","0","0","0","0","0.00 "
"485","1","            ","            ","APV","1.34.1.1.1.3.E2L.MFG-AF                 ","          ","    ","110","1","1","621","621","E2L  ","E2LS1 ","2","","    E2L00-110026","10","E2LS1 SUB ASSEMBLIES B        ","4","0","0.00","56.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","11/7/2017","12/4/2017","12/19/2017","1/25/2018","    E2L00-110026-10","0","0","0","0","0.00 "
"485","1","            ","            ","APV","1.34.1.1.1.3.E2L.MFG-AF                 ","          ","    ","110","1","1","621","621","E2L  ","E2LS1 ","2","","    E2L00-110027","10","E2LS1 SUB ASSEMBLIES C        ","4","0","0.00","61.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","11/7/2017","12/4/2017","12/19/2017","1/25/2018","    E2L00-110027-10","0","0","0","0","0.00 "
