"Project","Provider","CLIN","Effort","Activity","Control Account","ECP/REA","Change Code","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","Parent - Operation","Previous ACWP","Previous Provider ACWP","Previous ETC","Previous EAC","EAC Growth"
"481","1","            ","            ","WBL","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943945","    L6500-000031","10","Q3-2018 LOE PP&C IMS          ","3014","0","0.00","650.00","0.00","0.00","0.00","650.00","0.00","0.00","0.00","650.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L6500-000031-10","0","0","650","650","0.00 "
"481","1","            ","            ","WBL","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943946","    L6500-000032","10","Q3-2018 LOE PP&C TPG          ","3014","0","0.00","3900.00","0.00","0.00","0.00","3520.00","0.00","0.00","0.00","3520.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L6500-000032-10","0","0","3520","3520","0.00 "
"481","1","            ","            ","WBL","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943947","    L6500-000033","10","Q4-2018 LOE PP&C PRC          ","3014","0","0.00","650.00","0.00","0.00","0.00","650.00","0.00","0.00","0.00","650.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L6500-000033-10","0","0","650","650","0.00 "
"481","1","            ","            ","WBL","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943948","    L6500-000034","10","Q4-2018 LOE PP&C IMS          ","3014","0","0.00","650.00","0.00","0.00","0.00","650.00","0.00","0.00","0.00","650.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L6500-000034-10","0","0","650","650","0.00 "
"481","1","            ","            ","WBL","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943949","    L6500-000035","10","Q4-2018 LOE PP&C TPG          ","3014","0","0.00","3900.00","0.00","0.00","0.00","3660.00","0.00","0.00","0.00","3660.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L6500-000035-10","0","0","3660","3660","0.00 "
"481","1","            ","            ","WBQ","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943950","    L6500-000036","10","Q1-2019 LOE PP&C PRC          ","3014","0","0.00","650.00","0.00","0.00","0.00","650.00","0.00","0.00","0.00","650.00","","","1/2/2019","7/5/2019","1/2/2019","7/5/2019","    L6500-000036-10","0","0","650","650","0.00 "
"481","1","            ","            ","WBQ","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943951","    L6500-000037","10","Q1-2019 LOE PP&C IMS          ","3014","0","0.00","650.00","0.00","0.00","0.00","650.00","0.00","0.00","0.00","650.00","","","1/2/2019","7/5/2019","1/2/2019","7/5/2019","    L6500-000037-10","0","0","650","650","0.00 "
"481","1","            ","            ","WBQ","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943952","    L6500-000038","10","Q1-2019 LOE PP&C TPG          ","3014","0","0.00","1915.00","0.00","0.00","0.00","1915.00","0.00","0.00","0.00","1915.00","","","1/2/2019","7/5/2019","1/2/2019","7/5/2019","    L6500-000038-10","0","0","1915","1915","0.00 "
"481","1","            ","            ","WBQ","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943953","    L6500-000039","10","Q-FINAL LOE PP&C PRC          ","3014","0","0.00","1690.00","0.00","0.00","0.00","793.00","0.00","0.00","0.00","793.00","","","1/2/2019","7/5/2019","1/2/2019","7/5/2019","    L6500-000039-10","0","0","793","793","0.00 "
"481","1","            ","            ","WBQ","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943954","    L6500-000040","10","Q-FINAL LOE PP&C IMS          ","3014","0","0.00","1690.00","0.00","0.00","0.00","1690.00","0.00","0.00","0.00","1690.00","","","1/2/2019","7/5/2019","1/2/2019","7/5/2019","    L6500-000040-10","0","0","1690","1690","0.00 "
"481","1","            ","            ","WBQ","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943955","    L6500-000041","10","Q-FINAL LOE PP&C TPG          ","3014","0","0.00","1300.00","0.00","0.00","0.00","1692.00","0.00","0.00","0.00","1692.00","","","1/2/2019","7/5/2019","1/2/2019","7/5/2019","    L6500-000041-10","0","0","1692","1692","0.00 "
"481","1","            ","            ","WBH","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","944737","    L6500-000045","10","Q2-2017 LOE PP&C SCM          ","3014","0","0.00","360.00","0.00","0.00","0.00","360.00","0.00","0.00","0.00","360.00","","","1/3/2017","12/22/2017","1/3/2017","12/22/2017","    L6500-000045-10","0","0","650","650","(290.00)"
"481","1","            ","            ","WBH","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","944738","    L6500-000046","10","Q3-2017 LOE PP&C SCM          ","3014","0","0.00","390.00","0.00","0.00","0.00","390.00","0.00","0.00","0.00","390.00","","","1/3/2017","12/22/2017","1/3/2017","12/22/2017","    L6500-000046-10","0","0","390","390","0.00 "
"481","1","            ","            ","WBH","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","944739","    L6500-000047","10","Q4-2017 LOE PP&C SCM          ","3014","0","0.00","390.00","0.00","0.00","0.00","390.00","0.00","0.00","0.00","390.00","","","1/3/2017","12/22/2017","1/3/2017","12/22/2017","    L6500-000047-10","0","0","390","390","0.00 "
"481","1","            ","            ","WBL","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","944740","    L6500-000048","10","Q1-2018 LOE PP&C SCM          ","3014","0","0.00","650.00","0.00","0.00","0.00","650.00","0.00","0.00","0.00","650.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L6500-000048-10","0","0","650","650","0.00 "
"481","1","            ","            ","WBL","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","944741","    L6500-000049","10","Q2-2018 LOE PP&C SCM          ","3014","0","0.00","390.00","0.00","0.00","0.00","390.00","0.00","0.00","0.00","390.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L6500-000049-10","0","0","390","390","0.00 "
"481","1","            ","            ","WBL","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","944742","    L6500-000050","10","Q3-2018 LOE PP&C SCM          ","3014","0","0.00","390.00","0.00","0.00","0.00","390.00","0.00","0.00","0.00","390.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L6500-000050-10","0","0","390","390","0.00 "
"481","1","            ","            ","WBL","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","944743","    L6500-000051","10","Q4-2018 LOE PP&C SCM          ","3014","0","0.00","390.00","0.00","0.00","0.00","390.00","0.00","0.00","0.00","390.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L6500-000051-10","0","0","390","390","0.00 "
"481","1","            ","            ","WBQ","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","944744","    L6500-000052","10","Q1-2019 LOE PP&C SCM          ","3014","0","0.00","390.00","0.00","0.00","0.00","390.00","0.00","0.00","0.00","390.00","","","1/2/2019","7/5/2019","1/2/2019","7/5/2019","    L6500-000052-10","0","0","390","390","0.00 "
"481","1","            ","            ","WBQ","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","944745","    L6500-000053","10","Q-FINAL LOE PP&C SCM          ","3014","0","0.00","720.00","0.00","0.00","0.00","720.00","0.00","0.00","0.00","720.00","","","1/2/2019","7/5/2019","1/2/2019","7/5/2019","    L6500-000053-10","0","0","720","720","0.00 "
