"Proj.","FM","HB","Seq","SWBS","Prod. Order","Opr","Task","WS/T","ECP/REA","Item","Description","Earliest Start Dt","Earliest End Date","BUDGET","% PROG","EARNED HOURS","ACTUAL","EAC","","",""
"MFG","","","","","","","","","","","","","","","","","","","","",""
"479","4","D1S ","D1SD1 ","150","117127","10","8","    ","65","    D1S00-150058","LCS 19 D1SD1 CONSTRCT FIT BS_2","        ","        ","220","100","220","411.5","411.5","","",""
"479","4","D1S ","D1SD1 ","150","117128","10","9","    ","66","    D1S00-150059","LCS 19 D1SD1 CONSTRT WELD BS_2","        ","        ","190","100","190","290.96","290.96","","",""
"479","4","D1S ","D1SD1 ","150","117129","10","8","    ","67","    D1S00-150060","LCS 19 D1SD1 CONSTRCT FIT BS_3","        ","        ","592","100","592","702.55","702.55","","",""
"479","4","D1S ","D1SD1 ","150","117130","10","9","    ","68","    D1S00-150061","LCS 19 D1SD1 CONSTRT WELD BS_3","        ","        ","750","100","750","725.75","725.75","","",""
"479","4","D1S ","D1SD1 ","150","117216","10","4","    ","284","    D1S00-150083","LCS 19 D1SD1 TOPSIDE POST ACE ","        ","        ","22","100","22","21.5","21.5","","",""
"479","4","D1S ","D1SD3 ","150","117068","10","4","    ","273","    D1S00-150085","LCS 19 D1SD3 TOPSIDE POST ACE ","        ","        ","3","100","3","0","0","","",""
"479","4","D1S ","D1SD1 ","992","117134","10","19","    ","76","    D1S00-992001","LCS 19 D1SD1 INST ROL STRUCTRE","05/25/2015","        ","67","100","67","51.01","51.01","","",""
"479","5","D1S ","D1SD1 ","0","0","10","880","    ","63","    D1SD1-MMCRWK","LCS 19 D1SD1 MMC CAUSED REWORK","        ","        ","0","0","0","0","0","","",""
"479","5","D1S ","D1SD1 ","0","117132","10","19","    ","76","    D1SD1-MODXFR","LCS 19 D1SD1 MOD XFR TO BARGE ","        ","        ","0","100","0","69.66","69.66","","",""
"479","5","D1S ","D1SD1 ","0","117246","10","890","    ","63","    D1SD1-R04100","LCS 19 D1SD1 FORMED PART ERROR","        ","        ","0","100","0","24","24","","",""
"479","5","D1S ","D1SD2 ","0","117164","10","19","    ","106","    D1SD2-MODXFR","LCS 19 D1SD2 MOD XFR TO BARGE ","        ","        ","30","100","30","24.5","24.5","","",""
"479","5","D1S ","D1SD3 ","0","117070","10","19","    ","133","    D1SD3-MODXFR","LCS 19 D1SD3 MOD XFR TO BARGE ","        ","        ","0","100","0","39.25","39.25","","",""
"479","5","D1S ","D1SD4 ","0","117103","10","19","    ","153","    D1SD4-MODXFR","LCS 19 D1SD4 MOD XFR TO BARGE ","        ","        ","60","100","60","27.01","27.01","","",""
"479","5","D1S ","900","74","117131","10","20","    ","63","      D1SD1-0920","LCS 19 D1SD1 R20 ACCURACY CNTL","        ","        ","0","100","0","21","21","","",""
"479","5","D1S ","900","74","117163","10","20","    ","93","      D1SD2-0920","LCS 19 D1SD2 R20 ACCURACY CNTL","        ","        ","0","100","0","0","0","","",""
"479","5","D1S ","900","74","117069","10","20","    ","125","      D1SD3-0920","LCS 19 D1SD3 R20 ACCURACY CNTL","        ","        ","8","100","8","0","0","","",""
"479","5","D1S ","900","74","117102","10","20","    ","142","      D1SD4-0920","LCS 19 D1SD4 R20 ACCURACY CNTL","        ","        ","0","100","0","8.95","8.95","","",""
"479","5","D1S ","STACK ","74","117220","10","20","    ","63","      D1S12-0920","LCS 19 D1SD1/D2 STACK ACC CNTL","        ","        ","0","100","0","0","0","","",""
"479","5","D1S ","STACK ","74","117074","10","20","    ","125","      D1S34-0920","LCS 19 D1SD3/D4 STACK ACC CNTL","        ","        ","0","100","0","3.5","3.5","","",""
"479","5","D1S ","D1SD1 ","150","117177","10","890","    ","57","    D1SD1-R02100","LCS 19 D1SD1 P2 STIFFNER RWK  ","        ","        ","0","100","0","9.5","9.5","","",""
"479","5","D1S ","D1SD1 ","150","117210","10","880","    ","63","    D1SD1-R03300","LCS 19 D1SD1 S3&4 CRACK REPAIR","        ","        ","0","100","0","20","20","","",""
