"Proj","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","Name","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort","ECP/REA","","","","","","","","","","",""
"485","110","    11-13M125T40","PLATE, 12.5MM X 96""  ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","12","2774.98","1","0","1","2774.98","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-13M130T40","PLATE, 13MM X 96"" X  ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","13","2886.09","4","0","4","11544.36","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-13M160T40","PLATE, 16MM X 96"" X  ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","16","3552.1","3","0","3","10656.3","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-13M170T40","PLATE, 17MM X 96"" X  ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","17","3774.11","1","0","1","3774.11","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-13M200T40","PLATE, 20MM X 96"" X  ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","18","4440.13","4","0","4","17760.52","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-13M320T40","PLATE, 32MM X 96"" X  ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","20","7104.21","6","0","6","42625.26","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-13M360T40","PLATE, 36MM X 96"" X  ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","21","7992.24","1","0","1","7992.24","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-13M500T40","PLATE, 50MM X 96"" X  ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","22","10325.58","1","0","1","10325.58","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-14M050T40","PLATE, 5MM (8.04#) X ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","23","4436.27","5","0","5","22181.35","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-14M055T40","PLATE, 5.5MM(8.84#)  ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","24","4872.83","10","0","10","48728.3","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-14M060T40","PLATE, 6MM(9.65#) X  ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","25","5315.81","15","0","15","79737.15","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-14M065T40","PLATE, 6.5MM(10.45#) ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","26","5516.34","5","0","5","27581.7","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-14M070T40","PLATE, 7MM(11.26#) X ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","27","5932.49","12","0","12","71189.88","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-14M075T40","PLATE, 7.5MM(12.06#) ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","28","6355.77","16","0","16","101692.32","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-14M080T40","PLATE, 8MM(12.86#) X ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","29","6737.89","36","0","36","242564.04","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-14M085T40","PLATE, 8.5MM(13.67#) ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","30","7169.94","3","0","3","21509.82","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-14M090T40","PLATE, 9MM (14.47#)  ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","31","7580.12","18","0","18","136442.16","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
