"Proj","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort","",""
"SWBS: ","150","150M - SUPERSTRUCTURES&DECKHSE","       ","          ","                  ","   ","      ","      ","    ","     Total","for SWBS      "," 150 :      221448.75","","","","","","","","",""
"485","164","    164-01-00001","PANELS, BULKHEAD REI ","PANEL     ","REINFORCEMENT     ","   ","105146","510214","1","212557.7","1","0","1","212557.7","05/12/2017","8","         ","            ","","",""
"485","164","    164-00-00003","SERVICES TO CUT & PA ","SERVICE   ","                  ","   ","105146","510214","2","15540.89","1","0","1","15540.89","05/12/2017","8","         ","            ","","",""
"485","164","    164-00-00003","SERVICES TO CUT & PA ","SERVICE   ","                  ","   ","105146","510214","3","6862.4","1","0","1","6862.4","05/12/2017","8","         ","            ","","",""
"485","164","    164-00-00003","SERVICES TO CUT & PA ","SERVICE   ","                  ","   ","105146","510214","4","21740.6","1","0","1","21740.6","05/12/2017","8","         ","            ","","",""
"485","164","    164-00-00001","SERVICES, LABOR TO I ","SERVICE   ","                  ","   ","105146","510214","5","15552.98","1","0","1","15552.98","05/12/2017","8","         ","            ","","",""
"485","164","    164-00-00001","SERVICES, LABOR TO I ","SERVICE   ","                  ","   ","105146","510214","6","4685.65","1","0","1","4685.65","05/12/2017","8","         ","            ","","",""
"485","164","    164-00-00001","SERVICES, LABOR TO I ","SERVICE   ","                  ","   ","105146","510214","7","35299.51","1","0","1","35299.51","05/12/2017","8","         ","            ","","",""
"485","164","    164-01-00002","BAR, FLAT (STOCK TO  ","BAR       ","FLAT              ","   ","105146","510214","8","2730.17","1","0","1","2730.17","05/12/2017","8","         ","            ","","",""
"485","164","    164-01-00003","BAR, FLAT (STOCK TO  ","BAR       ","FLAT              ","   ","105146","510214","9","6825.42","1","0","1","6825.42","05/12/2017","8","         ","            ","","",""
"485","164","    164-01-00004","ANGLE,(STOCK TO BE U ","ANGLE     ","                  ","   ","105146","510214","10","13195.81","1","0","1","13195.81","05/12/2017","8","         ","            ","","",""
"SWBS: ","164","ARMOR           ","                     ","          ","                  ","   ","      ","      ","    ","     Total","for SWBS      "," 164 :      334991.13","","","","","","","","",""
"485","167","    167-03-00054","CAPSCREW, 1/2-13UNC- ","CAPSCREW  ","HEXAGONAL SOCKET  ","   ","103342","691788","9","2.43","8","0","8","19.45","05/15/2017","8","         ","            ","","",""
"485","167","167-03-00061-S00","PIN, QUICK RELEASE,  ","SHOCK     ","PIN               ","   ","4952","691796","9","4.22","4","0","4","16.88","06/01/2017","8","         ","            ","","",""
"485","167","167-03-00061-S00","PIN, QUICK RELEASE,  ","SHOCK     ","PIN               ","   ","4952","691796","26","0","-4","0","-4","0","06/01/2017","8","         ","            ","","",""
"485","167","    167-03-00061","PIN, QUICK RELEASE,  ","PIN       ","QUICK RELEASE     ","   ","4952","691796","27","0","4","0","4","0","06/01/2017","8","         ","            ","","",""
"485","167","167-03-00062-S00","WIRE ROPE, 1/8"" DIA, ","SHOCK     ","                  ","   ","100443","691811","5","0","4","0","4","0","06/03/2017","8","         ","            ","","",""
"485","167","167-03-00063-S00","CONNECTOR, COMPRESSI ","SHOCK     ","                  ","   ","100443","691811","6","0","8","0","8","0","06/03/2017","8","         ","            ","","",""
"485","167","167-03-00062-S00","WIRE ROPE, 1/8"" DIA, ","SHOCK     ","                  ","   ","100443","691811","15","0","-4","0","-4","0","06/03/2017","8","         ","            ","","",""
"485","167","    167-03-00062","WIRE ROPE, 1/8"" DIA, ","ROPE      ","WIRE              ","   ","100443","691811","16","0","4","0","4","0","06/03/2017","8","         ","            ","","",""
"485","167","167-03-00063-S00","CONNECTOR, COMPRESSI ","SHOCK     ","                  ","   ","100443","691811","17","0","-8","0","-8","0","06/03/2017","8","         ","            ","","",""
"485","167","    167-03-00063","CONNECTOR, COMPRESSI ","CONNECTOR ","COMPRESSION       ","   ","100443","691811","18","0","8","0","8","0","06/03/2017","8","         ","            ","","",""
"485","167","167-01-00401-S02","COMPLETE ASSEMBLY, 1 ","RING      ","DECK              ","   ","45005","799547","1","1085.75","18","0","18","19543.5","07/28/2017","1","         ","            ","","",""
"485","167","    167-01-00006","HATCH, AVIATION MISS ","HATCH     ","                  ","   ","108207","970295","1","0","1","0","1","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00006-804","LOAD PLATFORM, AVIAT ","PLATFORM  ","LOAD              ","   ","108207","970295","2","0","1","0","1","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00006-805","PLATFORM GUIDE RAIL  ","RAIL      ","GUIDE             ","   ","108207","970295","3","0","4","0","4","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-807","PROXIMITY SWITCH     ","SWITCH    ","                  ","   ","108207","970295","4","0","4","0","4","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-808","PROXIMITY SWITCH     ","SWITCH    ","                  ","   ","108207","970295","5","0","1","0","1","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-810","WHIP HOIST CONTROLLE ","CONTROLLER","                  ","   ","108207","970295","6","0","1","0","1","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-811","STARTER, MOTOR, HOIS ","STARTER   ","                  ","   ","108207","970295","7","0","1","0","1","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-812","ASSY, PENDANT, CONTR ","ASSEMBLY  ","PENDANT           ","   ","108207","970295","8","0","1","0","1","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-813","BELL                 ","BELL      ","                  ","   ","108207","970295","9","0","2","0","2","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-814","HIGH INTENSITY STROB ","STROBE    ","                  ","   ","108207","970295","10","0","2","0","2","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-815","OPERATOR STATION, SI ","STATION   ","OPERATOR          ","   ","108207","970295","11","0","3","0","3","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-816","HOOK                 ","HOOK      ","                  ","   ","108207","970295","12","0","1","0","1","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-817","ASSEMBLY, JIB, BOOM, ","ASSEMBLY  ","BOOM              ","   ","108207","970295","13","0","1","0","1","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-818","ASSY, WIRE ROPE      ","ASSEMBLY  ","WIRE ROPE         ","   ","108207","970295","14","0","1","0","1","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-819","WEIGHT, OVERHAUL     ","WEIGHT    ","                  ","   ","108207","970295","15","0","1","0","1","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-822","ASSEMBLY, CATCH      ","ASSEMBLY  ","CATCH             ","   ","108207","970295","16","0","2","0","2","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-823","TEE HANDLE, DOG      ","TEE HANDLE","                  ","   ","108207","970295","17","0","2","0","2","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-824","ASSEMBLY, HATCH      ","ASSEMBLY  ","HATCH             ","   ","108207","970295","18","0","1","0","1","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-837","LUBE CHART, HATCH    ","CHART     ","LUBE              ","   ","108207","970295","19","0","1","0","1","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-841","HARD STOP KIT        ","HARD STOP ","                  ","   ","108207","970295","20","0","1","0","1","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-844","SHACKLE, F169915 F/N ","SHACKLE   ","                  ","   ","108207","970295","21","0","2","0","2","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00006-L06","REPORT, IN-PLANT TES ","REPORT    ","IN PLANT TEST     ","   ","108207","970295","22","0","1","0","1","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00006-L11","CERTIFICATES, REGULA ","CERTIFICAT","REGULATORY        ","   ","108207","970295","23","0","1","0","1","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00006-L20","SUPPORT, VENDOR      ","SUPPORT   ","VENDOR            ","   ","108207","970295","24","0","1","0","1","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00006-L32","FACTORY TRAINING     ","TRAINING  ","FACTORY           ","   ","108207","970295","26","0","1","0","1","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00006-L47","GOVERNMENT INSPECTIO ","INSPECTION","GOVERNMENT        ","   ","108207","970295","27","0","1","0","1","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00006-L50","CERTIFICATES, CONSTR ","CERTIFICAT","CONSTRUCTION      ","   ","108207","970295","29","0","1","0","1","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00006-L68","CERTIFICATES, VENDOR ","CERTIFICAT","VENDOR            ","   ","108207","970295","30","0","1","0","1","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00006-P02","PROGRESS PAYMENT     ","PROGRESS P","                  ","   ","108207","970295","32","146689.25","1","0","1","146689.25","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00006-P03","PROGRESS PAYMENT     ","PROGRESS P","                  ","   ","108207","970295","33","146689.25","1","0","1","146689.25","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00006-P04","PROGRESS PAYMENT     ","PROGRESS P","                  ","   ","108207","970295","34","132020.33","1","0","1","132020.33","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00006-P05","PROGRESS PAYMENT     ","PROGRESS P","                  ","   ","108207","970295","35","44006.77","1","0","1","44006.77","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-801","CAPSCREW, HEXHD, .50 ","CAPSCREW  ","HEXAGON HEAD      ","   ","108207","970295","36","0","10","0","10","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-802","CAPSCREW, HEXHD, .37 ","CAPSCREW  ","HEXAGON HEAD      ","   ","108207","970295","37","0","20","0","20","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-803","NUT, SLFLKG .375-16U ","NUT       ","SELF LOCKING      ","   ","108207","970295","38","0","20","0","20","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-804","CAPSCREW, HEXSOC,.37 ","CAPSCREW  ","                  ","   ","108207","970295","39","0","2","0","2","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-805","WASHER, FLAT, DIA. 0 ","WASHER    ","                  ","   ","108207","970295","40","0","4","0","4","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-806","CAPSCREW, HEX HD, SL ","CAPSCREW  ","                  ","   ","108207","970295","41","0","4","0","4","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-809","NUT, SPRING, 0.500-1 ","NUT       ","                  ","   ","108207","970295","42","0","10","0","10","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-825","PIN, HATCH STAY      ","PIN       ","HATCH             ","   ","108207","970295","43","0","2","0","2","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-826","HATCH STAY           ","HATCH     ","                  ","   ","108207","970295","44","0","1","0","1","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-827","PIN, HAIR            ","PIN       ","                  ","   ","108207","970295","45","0","2","0","2","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-828","CHANNEL, MOUNT       ","CHANNEL   ","MOUNT             ","   ","108207","970295","46","0","1","0","1","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-829","CHANNEL, MOUNT       ","MOUNT     ","CHANNEL           ","   ","108207","970295","47","0","2","0","2","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-830","WELD, LUG, HATCH STA ","LUG       ","WELD              ","   ","108207","970295","48","0","1","0","1","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-832","PLATE, INSTRUCTION   ","PLATE     ","INSTRUCTION       ","   ","108207","970295","49","0","2","0","2","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-833","LUBE CHART           ","CHART     ","LUBE              ","   ","108207","970295","50","0","1","0","1","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-834","PAD, RUBBER          ","PAD       ","                  ","   ","108207","970295","51","0","1","0","1","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-835","BOOM STOP, RUBBER    ","BOOM STOP ","                  ","   ","108207","970295","52","0","1","0","1","0","06/15/2018","8","         ","            ","","",""
"485","167","167-01-00012-836","MOUNTING PLATE       ","PLATE     ","MOUNTING          ","   ","108207","970295","53","0","5","0","5","0","06/15/2018","8","         ","            ","","",""
