"Proj","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort"
"473","2","  HPR-0001702-01","DISPLAY, LARGE SCREE ","DISPLAY   ","SCREEN            ","   ","104945","639957","20","0","2","0","2","0","05/14/2017","8","         ","            ",""
"473","2","  HPR-0001170-01","BEARING REPEATER, SP ","REPEATER  ","                  ","   ","104945","639960","81","0","1","0","1","0","01/05/2017","8","         ","            ",""
"473","2","  HPR-0001677-01","67M RADAR INSTALL KI ","KIT       ","INSTALL           ","   ","104945","639960","83","0","1","0","1","0","05/14/2017","8","         ","            ",""
"473","2","  HPR-0000920-01","COMMUNICATION, TERMI ","SWITCH    ","TERMINAL          ","   ","104945","639961","212","0","1","0","1","0","11/13/2016","8","         ","            ",""
"473","2","  HPR-0001269-02","COMMUNICATION, TERMI ","SWITCH    ","TERMINAL          ","   ","104945","639961","214","0","2","0","2","0","01/05/2017","8","         ","            ",""
"473","2","  HPR-0001611-01","EXCOMM ENCLOSURE-6,  ","ENCLOSURE ","EXCOMM            ","   ","104945","639961","216","0","1","0","1","0","04/10/2017","8","         ","            ",""
"473","2","  HPR-0001623-01","SWITCH, MANUAL, TCDL ","SWITCH    ","                  ","   ","104945","639961","217","0","1","0","1","0","04/29/2017","8","         ","            ",""
"473","2","  HPR-0001999-01","ANTENNA, DIRECTIONAL ","ANTENNA   ","                  ","   ","104945","639961","218","0","1","0","1","0","07/07/2017","8","         ","            ",""
"473","2","  HPR-0001584-01","GSI PLATFORM HARDWAR ","KIT       ","INSTALLATION      ","   ","104945","639963","103","0","1","0","1","0","04/10/2017","8","         ","            ",""
"473","2","  HPR-0001584-02","GSI PLATFORM HARDWAR ","KIT       ","INSTALLATION      ","   ","104945","639963","104","0","1","0","1","0","04/10/2017","8","         ","            ",""
"473","2","  HPR-0001881-01","150 DEGREE HEAT DETE ","          ","                  ","   ","2600","653095","1","270","2","0","2","540","12/09/2017","8","         ","            ",""
"473","2","  HPR-0002025-01","PNEUMATIC PILOT, TO  ","PILOT     ","PNEUMATIC         ","   ","101936","687686","1","100","2","0","2","200","07/14/2017","8","         ","            ",""
"473","2","  HPR-0002141-01","NUT, MULTI-JACKBOLT  ","NUT       ","TENSIONER         ","   ","78154","691838","1","84.6","3","0","3","253.8","07/12/2017","8","         ","            ",""
"473","2","    HPR-08797-01","HOSE REEL, JP-5 AVIA ","HOSE      ","REEL              ","   ","105529","765702","1","2000","1","0","1","2000","12/01/2015","8","         ","            ",""
"473","2","  HPR-0001586-01","FUNNEL, 2"" IPS OUTLE ","FUNNEL    ","FLAT              ","   ","107825","787001","1","357.2","1","0","1","357.2","05/31/2017","8","         ","            ",""
"473","2","  HPR-0001757-01","TEE, REDC, 1"" X 1/4"" ","          ","                  ","   ","106891","787008","19","417.56","2","0","2","835.12","04/28/2017","8","         ","            ",""
"473","2","  HPR-0001869-03","FUNNEL, 2"" IPS OUTLE ","FUNNEL    ","FLAT              ","   ","107825","787085","1","357.2","1","0","1","357.2","07/10/2017","8","         ","            ",""
"473","2","  HPR-0001091-01","Y-BRANCH, 3/4"" IPS,  ","Y-BRANCH, ","SILBRAZE W/PIR    ","   ","107825","787085","2","45.6","2","0","2","91.2","07/10/2017","8","         ","            ",""
"473","2","  HPR-0002107-01","ADAPTER, 1/4"" X 1/4"" ","ADAPTER   ","SWAGE X MALE 37 DE","   ","106891","787206","2","78.43","2","0","2","156.86","06/19/2017","8","         ","            ",""
"473","2","  HPR-0002107-02","COUPLING, 1/4"" IPS,  ","COUPLING  ","SWAGED ENDS       ","   ","106891","787206","3","84.95","8","0","8","679.6","06/19/2017","8","         ","            ",""
"473","2","  HPR-0002151-01","TEE, 1/4"" IPS, 316L  ","TEE       ","SWAGED ENDS       ","   ","106891","787206","5","319.7","2","0","2","639.4","06/19/2017","8","         ","            ",""
"473","2","  HPR-0002017-01","ELBOW, 90 DEG, 1/4""  ","ELBOW     ","90 DEGREE         ","   ","106891","787206","6","280.25","6","0","6","1681.5","06/19/2017","8","         ","            ",""
"473","2","  HPR-0002111-02","WATER, HAMMER ARREST ","ARRESTER  ","HAMMER            ","   ","104261","787212","1","18","4","0","4","72","07/10/2017","8","         ","            ",""
"473","2","  HPR-0002143-02","ELBOW, 90 DEG, 1/2""  ","ELBOW     ","90 DEGREE         ","   ","104261","787212","3","4.21","22","0","22","92.62","07/10/2017","8","         ","            ",""
"473","2","  HPR-0002143-03","UNION, 1/2"" IPS, SW, ","UNION     ","SOCKET WELD       ","   ","104261","787212","4","9.17","13","0","13","119.21","07/10/2017","8","         ","            ",""
"473","2","    HPR-09707-01","MANIFOLD, CONTROL AI ","MANIFOLD  ","AIR               ","   ","104947","799239","1","0","2","0","2","0","08/02/2016","8","         ","            ",""
"473","2","    HPR-09707-02","MANIFOLD, CONTROL AI ","MANIFOLD  ","AIR               ","   ","104947","799239","2","0","24","0","24","0","08/02/2016","8","         ","            ",""
"473","2","    HPR-09707-03","MANIFOLD, CONTROL AI ","MANIFOLD  ","AIR               ","   ","104947","799239","3","0","1","0","1","0","08/02/2016","8","         ","            ",""
"473","2","  HPR-0001546-01","GAGE ASSY, PRESSURE  ","ASSEMBLY  ","GAGE              ","   ","51474","799432","1","771.08","1","0","1","771.08","05/11/2017","8","         ","            ",""
"473","2","  HPR-0001545-01","GAGE ASSEMBLY, PRESS ","ASSEMBLY  ","GAGE              ","   ","51474","799432","2","771.08","1","0","1","771.08","05/11/2017","8","         ","            ",""
"473","2","  HPR-0001796-01","FILTER/SEPARATOR, GA ","FILTER    ","GAS               ","   ","104690","799468","1","1085","2","0","2","2170","04/12/2017","8","         ","            ",""
"473","2","  HPR-0001722-01","FILTER/SEPARATOR, GA ","FILTER    ","GAS               ","   ","104690","799486","1","350","1","0","1","350","07/27/2017","8","         ","            ",""
"473","2","  HPR-0001841-01","LUBE OIL FILTER/SEPA ","FILTER    ","SEPARATOR         ","   ","104690","799486","2","40","2","0","2","80","07/27/2017","8","         ","            ",""
"473","2","  HPR-0001841-02","LUBE OIL FILTER/SEPA ","FILTER    ","SEPARATOR         ","   ","104690","799486","3","5.75","2","0","2","11.5","07/27/2017","8","         ","            ",""
"473","2","  HPR-0001841-03","LUBE OIL FILTER/SEPA ","FILTER    ","SEPARATOR         ","   ","104690","799486","4","5","2","0","2","10","07/27/2017","8","         ","            ",""
"473","2","  HPR-0001765-01","MANIFOLD, CONTROL AI ","MANIFOLD  ","AIR               ","   ","104947","799512","1","5960.25","1","0","1","5960.25","08/18/2017","1","         ","            ",""
"473","2","  HPR-0001973-01","BIMETAL DIAL THERMOM ","THERMOMETE","                  ","   ","51474","799515","1","272.01","2","0","2","544.02","07/28/2017","8","         ","            ",""
"473","2","  HPR-0001919-01","SHIPPED LOOSE PART - ","PART      ","SHIP              ","   ","3400","799577","1","3240","1","0","1","3240","09/29/2017","8","         ","            ",""
"473","2","  HPR-0002075-01","ANTENNA              ","ANTENNA   ","                  ","   ","104945","860018","29","0","1","0","1","0","07/17/2017","8","         ","            ",""
"473","2","  HPR-0001714-01","V0-RADAR, GUN WEAPON ","GUN       ","SYSTEM            ","   ","104945","860028","239","0","1","0","1","0","05/07/2017","8","         ","            ",""
"473","2","    HPR-09150-01","VALVE, BTLY, 6 IPS,  ","VALVE     ","BUTTERFLY         ","   ","102519","890591","1","0","-1","0","-1","0","03/22/2017","1","         ","            ",""
"473","2","  HPR-0000839-01","ADAPTER, 1/4 MPT X 9 ","ADAPTER   ","MPT               ","   ","69047","930401","1","477.19","1","0","1","477.19","10/21/2016","8","         ","            ",""
"473","2","  HPR-0001410-01","VALVE, SOLENOID OPER ","VALVE     ","SOLENOID          ","   ","100538","930523","1","849","2","0","2","1698","01/28/2017","8","         ","            ",""
"473","2","  HPR-0001392-01","VALVE, BALL, 2"", BRO ","VALVE     ","BALL              ","   ","102519","930573","1","5253","1","0","1","5253","06/06/2017","1","         ","            ",""
"473","2","  HPR-0001538-01","VALVE, HOSE GLOBE, I ","VALVE     ","HOSE GLOBE        ","   ","101589","930586","2","529.65","1","0","1","529.65","07/15/2017","8","         ","            ",""
"473","2","  HPR-0001593-01","CABLE, ELECTRIC, 2XS ","CABLE     ","LIGHTWEIGHT       ","   ","104945","930624","1","0","65","0","65","0","05/31/2017","8","         ","            ",""
"473","2","  HPR-0001386-01","VALVE, GATE, 1/2"" IP ","VALVE     ","RISING STEM       ","   ","101589","930743","1","293.81","1","0","1","293.81","07/10/2017","8","         ","            ",""
"473","2","  HPR-0001781-01","VALVE, GATE, W/LOCKS ","VALVE     ","GATE              ","   ","101589","930743","6","204.91","1","0","1","204.91","07/10/2017","8","         ","            ",""
"473","2","  HPR-0001970-01","VALVE, GATE, 1/2"" IP ","VALVE     ","RISING STEM       ","   ","101589","930829","7","293.81","2","0","2","587.62","09/08/2017","8","         ","            ",""
"473","2","  HPR-0001981-01","VALVE, GLOBE, STOP C ","VALVE     ","                  ","   ","100671","930857","1","355.5","1","0","1","355.5","06/28/2017","1","         ","            ",""
"473","2","  HPR-0001981-01","VALVE, GLOBE, STOP C ","VALVE     ","                  ","   ","100671","930857","2","0","-1","0","-1","0","06/28/2017","1","         ","            ",""
"473","2","  HPR-0001923-01","VALVE, BUTTERFLY, 3"" ","VALVE     ","BUTTERFLY         ","   ","102519","930865","1","250","1","0","1","250","08/23/2017","1","         ","            ",""
"473","2","  HPR-0001965-01","VALVE, VACUUM RELIEF ","          ","                  ","   ","104947","930866","1","270.74","1","0","1","270.74","07/14/2017","1","         ","            ",""
"473","2","  HPR-0001965-01","VALVE, VACUUM RELIEF ","          ","                  ","   ","104947","930866","2","0","-1","0","-1","0","07/14/2017","1","         ","            ",""
"473","2","    HPR-06601-01","VALVE, BUTTERFLY, 5"" ","VALVE     ","BUTTERFLY         ","   ","105551","930873","1","450","1","0","1","450","07/21/2017","8","         ","            ",""
"473","2","  HPR-0002131-01","VALVE, SWING CHECK,  ","VALVE     ","GROOVED           ","   ","101589","930890","6","128.87","1","0","1","128.87","10/12/2017","8","         ","            ",""
"473","2","  HPR-0001885-01","VALVE, PRP, HILLER S ","VALVE     ","                  ","   ","107937","930891","1","0","3","0","3","0","06/14/2017","8","         ","            ",""
"473","2","  HPR-0001806-01","CABLE, FIBER OPTIC,  ","CABLE     ","FIBER OPTIC       ","   ","5884","930893","1","2.89","347","0","347","1002.83","06/30/2017","8","         ","            ",""
"473","2","  HPR-0002122-01","VALVE, CHECK 2 1/2""  ","VALVE     ","CHECK             ","   ","104261","930896","1","1222.22","1","0","1","1222.22","08/14/2017","8","         ","            ",""
"473","2","  HPR-0002122-01","VALVE, CHECK 2 1/2""  ","VALVE     ","CHECK             ","   ","104261","930896","2","0","-1","0","-1","0","08/14/2017","8","         ","            ",""
"473","2","  HPR-0002111-01","VALVE, GLOBE STOP, 1 ","VALVE     ","GLOBE             ","   ","102362","930920","1","24.95","8","0","8","199.6","07/12/2017","8","         ","            ",""
