"Proj","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort","","","","","","","","","","",""
"469","2","  HPR-0001605-01","CAPSCREW, HI-TEMP M1 ","CAP SCREW ","HIGH TEMP         ","   ","104945","652343","122","0","6","0","6","0","04/10/2017","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001605-02","WASHER, LOCK W/O TAN ","WASHER    ","                  ","   ","104945","652343","123","0","6","0","6","0","04/10/2017","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001605-03","NUT, HEX HI-TEMP M16 ","NUT       ","HIGH TEMP         ","   ","104945","652343","124","0","6","0","6","0","04/10/2017","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000434-01","GAS TURBINE PACKAGE, ","TURBINE   ","GAS               ","   ","104945","652346","171","0","1","0","1","0","09/28/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000969-01","HFP NOZZLE, 180 DEG  ","HFP NOZZLE","                  ","   ","104945","652346","172","0","1","0","1","0","11/30/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001024-01","FUEL OIL PUMP (SPARE ","OIL       ","FUEL              ","   ","104945","652348","53","0","1","0","1","0","12/03/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-08722-01","WMZ OVERHEAD BRIDGE  ","CRANE     ","BRIDGE            ","   ","106332","652367","206","0","1","0","1","0","12/26/2015","2","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-08756-03","WMZ OVERHEAD BRIDGE  ","CRANE     ","BRIDGE            ","   ","106332","652367","209","3481.5","1","0","1","3481.5","11/26/2015","2","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000711-01","WMZ OVERHEAD BRIDGE  ","CRANE     ","BRIDGE            ","   ","106332","652367","219","0","3","0","3","0","10/26/2016","2","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001158-01","INSTRUCTIONS, OPERAT ","INSTRUCTIO","OPERATING         ","   ","106332","652367","221","0","1","0","1","0","12/16/2016","2","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-09013-01","DEVICE PROGRAMMER/LO ","DEVICE    ","                  ","   ","101139","652567","1","733","1","0","1","733","06/23/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-09509-01","SWITCHBOARD, 1S/2S   ","SWITCHBOAR","                  ","   ","104359","652644","1","0","1","0","1","0","10/27/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000631-01","MICROPHONE M-125 (FU ","MICROPHONE","                  ","   ","2600","652765","1","385","1","0","1","385","03/14/2017","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000562-01","RACK ENCLOSURE/DOOR  ","ENCLOSURE ","RACK              ","   ","55368","652823","1","23","1","0","1","23","11/09/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001157-03","ASSEMBLY STRAP,2"" FI ","ASSEMBLY  ","STRAP             ","   ","14597","691590","1","67.74","10","0","10","677.4","02/28/2017","1","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001589-01","BOLT, HEX, 5/8""-11UN ","BOLT      ","HEXAGON           ","   ","104124","691686","1","9.95","10","0","10","99.5","03/08/2017","1","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001039-01","FLEXIBLE HOSE ASSEMB ","ASSEMBLY  ","HOSE              ","   ","100904","786681","1","1761.51","1","0","1","1761.51","11/22/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001250-01","FLOW METER, .92 TO 1 ","METER     ","FLOW              ","   ","107500","786833","1","405","2","0","2","810","02/27/2017","8","         ","            ","","","","","","","","","","","",""
