"Parent - Operation","Lock Date","Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish"
"    L6000-000736-999","2/18/2017","479","1","          ","            ","736","          ","0","2","TST","600","A2   ","A2    ","0","","    L6000-000736","999","BUDGET FOR MFG                ","83","0","82","0","0","0","0","0","0","0","0","0","","","11/30/2017","1/19/2018","3/7/2018","4/26/2018"
"    L6000-000737-999","2/18/2017","479","1","          ","            ","737","          ","0","5","TST","600","A2   ","A2    ","0","","    L6000-000737","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","11/29/2017","1/18/2018","12/4/2017","1/31/2018"
"    L6000-000765-999","2/18/2017","479","1","          ","            ","765","          ","0","5","TST","600","A2   ","A2    ","0","","    L6000-000765","999","BUDGET FOR MFG                ","83","0","82","0","0","0","0","0","0","0","0","0","","","10/27/2017","12/12/2017","1/30/2018","3/21/2018"
"    L6000-000767-999","2/18/2017","479","1","          ","            ","767","          ","0","5","TST","600","A2   ","A2    ","0","","    L6000-000767","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","10/12/2017","11/27/2017","10/25/2017","12/18/2017"
"    L6000-000768-999","2/18/2017","479","1","          ","            ","768","          ","0","5","TST","600","A2   ","A2    ","0","","    L6000-000768","999","BUDGET FOR MFG                ","83","0","71","0","0","0","0","0","0","0","0","0","","","10/12/2017","11/27/2017","10/25/2017","12/18/2017"
"    L6000-000BUV-999","2/18/2017","479","1","          ","            ","BUV","          ","0","1","TST","600","A2DD1","A2DD1 ","0","","    L6000-000BUV","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/5/2017","4/11/2017","3/30/2017","4/6/2017"
"    L6000-000BWB-999","2/18/2017","479","1","          ","            ","BWB","          ","0","1","TST","600","A2L  ","A2L   ","0","","    L6000-000BWB","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","3/29/2017","4/5/2017","2/22/2017","3/2/2017"
"    L6000-000LAC-999","2/18/2017","479","1","          ","            ","LAC","          ","0","5","TST","600","A2L  ","A2L   ","0","","    L6000-000LAC","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","3/30/2017","4/5/2017","3/9/2017","3/20/2017"
"    L6000-000930-999","2/18/2017","479","999000","          ","            ","930","NO LABOR  ","0","3","TST","600","S    ","A2L   ","999","","    L6000-000930","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","3/26/2018","4/9/2018","6/1/2018","6/20/2018"
"    L6000-000BWC-999","2/18/2017","479","1","          ","            ","BWC","          ","0","1","TST","600","A2L  ","A2LB1 ","0","","    L6000-000BWC","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","2/8/2017","2/14/2017","2/8/2017","2/20/2017"
"    L6000-000BXA-999","2/18/2017","479","1","          ","            ","BXA","          ","0","1","TST","600","A2L  ","A2LS1 ","0","","    L6000-000BXA","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","2/3/2017","2/9/2017","1/16/2017","2/6/2017"
"    L6000-000BXS-999","2/18/2017","479","1","          ","            ","BXS","          ","0","1","TST","600","A2L  ","A2LS2 ","0","","    L6000-000BXS","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","2/3/2017","2/9/2017","2/7/2017","2/13/2017"
"    L6000-000H98-999","2/18/2017","479","1","          ","            ","888","          ","0","1","TST","600","A1   ","AA1   ","0","","    L6000-000H98","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"    L6000-000J11-999","2/18/2017","479","1","          ","            ","888","          ","0","3","TST","600","A1   ","AA1   ","0","","    L6000-000J11","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"    L6000-000A17-999","2/18/2017","479","1","          ","            ","888","          ","0","1","TST","600","D1   ","AD1   ","0","","    L6000-000A17","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"    L6000-000A20-999","2/18/2017","479","1","          ","            ","888","          ","0","3","TST","600","D1   ","AD1   ","0","","    L6000-000A20","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"    L6000-000A31-999","2/18/2017","479","1","          ","            ","888","          ","0","1","TST","600","D2   ","AD2   ","0","","    L6000-000A31","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"    L6000-000A34-999","2/18/2017","479","1","          ","            ","888","          ","0","3","TST","600","D2   ","AD2   ","0","","    L6000-000A34","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"    L6000-000A48-999","2/18/2017","479","1","          ","            ","888","          ","0","1","TST","600","F1   ","AF1   ","0","","    L6000-000A48","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"    L6000-000A51-999","2/18/2017","479","1","          ","            ","888","          ","0","3","TST","600","F1   ","AF1   ","0","","    L6000-000A51","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"    L6000-000A64-999","2/18/2017","479","1","          ","            ","888","          ","0","1","TST","600","F2   ","AF2   ","0","","    L6000-000A64","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"    L6000-000A66-999","2/18/2017","479","1","          ","            ","888","          ","0","3","TST","600","F2   ","AF2   ","0","","    L6000-000A66","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"    L6000-000A89-999","2/18/2017","479","1","          ","            ","888","          ","0","3","TST","600","F3   ","AF3   ","0","","    L6000-000A89","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"    L6000-000A78-999","2/18/2017","479","1","          ","            ","888","          ","0","1","TST","600","F3   ","AF3   ","0","","    L6000-000A78","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"    L6000-000112-999","2/18/2017","479","1","          ","            ","112","          ","0","1","TST","600","B1   ","B1    ","0","","    L6000-000112","999","BUDGET FOR MFG                ","83","0","209","209","0","0","0","209","0","0","0","209","","","12/5/2017","2/15/2018","12/7/2017","4/3/2018"
"    L6000-000134-999","2/18/2017","479","1","          ","            ","134","          ","0","1","TST","600","B1   ","B1    ","0","","    L6000-000134","999","BUDGET FOR MFG                ","83","0","89","89","0","0","0","89","0","0","0","89","","","2/16/2018","4/23/2018","4/4/2018","6/25/2018"
"    L6000-000H82-999","2/18/2017","479","1","          ","            ","888","          ","0","5","TST","600","B1   ","B1    ","0","","    L6000-000H82","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"    L6000-000980-999","2/18/2017","479","1","          ","            ","980","          ","0","5","TST","600","B1   ","B1    ","0","","    L6000-000980","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","11/29/2017","1/18/2018","12/4/2017","1/31/2018"
"    L6000-000942-999","2/18/2017","479","999000","          ","            ","942","NO LABOR  ","0","3","TST","600","S    ","B1    ","999","","    L6000-000942","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","5/29/2018","7/10/2018","6/22/2018","6/29/2018"
"    L6000-000BYC-999","2/18/2017","479","999000","          ","            ","BYC","NO LABOR  ","0","1","TST","600","B1L  ","B1L   ","999","","    L6000-000BYC","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/21/2017","5/2/2017","7/3/2017","7/18/2017"
"    L6000-000BYN-999","2/18/2017","479","999000","          ","            ","BYN","NO LABOR  ","0","1","TST","600","B1L  ","B1LD1 ","999","","    L6000-000BYN","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","3/2/2017","3/8/2017","4/21/2017","4/28/2017"
"    L6000-000FAE-999","2/18/2017","479","1","          ","            ","FAE","          ","0","5","TST","600","B1L  ","B1LD1 ","0","","    L6000-000FAE","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","3/9/2017","4/10/2017","5/26/2017","6/28/2017"
"    L6000-000BYZ-999","2/18/2017","479","1","          ","            ","BYZ","          ","0","1","TST","600","B1UD1","B1UD1 ","0","","    L6000-000BYZ","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","5/12/2017","5/18/2017","5/16/2017","5/23/2017"
"    L6000-000DZX-999","2/18/2017","479","1","          ","            ","DZX","          ","0","1","TST","600","B1U  ","B1UD1 ","0","","    L6000-000DZX","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/10/2017","6/19/2017","3/15/2017","5/23/2017"
"    L6000-000J20-999","2/18/2017","479","1","          ","            ","888","          ","0","3","TST","600","D2   ","CD2   ","0","","    L6000-000J20","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"    L6000-000662-999","2/18/2017","479","1","          ","            ","662","          ","0","5","TST","600","D1   ","D1    ","0","","    L6000-000662","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","10/18/2017","12/1/2017","10/23/2017","12/14/2017"
"    L6000-000990-999","2/18/2017","479","1","          ","            ","990","          ","0","5","TST","600","D1   ","D1    ","0","","    L6000-000990","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","11/15/2017","1/8/2018","11/22/2017","1/23/2018"
"    L6000-000974-999","2/18/2017","479","1","          ","            ","974","          ","0","5","TST","600","D1   ","D1    ","0","","    L6000-000974","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","3/26/2018","5/2/2018","5/8/2018","6/25/2018"
"    L6000-000860-999","2/18/2017","479","1","          ","            ","860","          ","0","5","TST","600","D1   ","D1    ","0","","    L6000-000860","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","1/25/2018","2/23/2018","3/2/2018","4/6/2018"
