"","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Committed Qty","Commit Amnt","Delv.date","Acct /Proj /Dept","CLIN","Effort","ECP/REA"
"485","110","11-13M060T40","PLATE, 6MM X 96"" X 40', STEEL,","PLATE     ","                  ","   ","106024","766094","3","1447.8","11","0","11","15925.8","09/20/2017","       /    /    ","            ","            ",""
"485","110","11-13M065T40","PLATE, 6.5MM X 96"" X 40', STEE","PLATE     ","                  ","   ","106024","766094","4","1568.45","24","0","24","37642.8","09/20/2017","       /    /    ","            ","            ",""
"485","110","11-13M070T40","PLATE, 7MM X 96"" X 40', STEEL,","PLATE     ","                  ","   ","106024","766094","5","1653.09","11","0","11","18183.99","09/20/2017","       /    /    ","            ","            ",""
"485","110","11-13M075T40","PLATE, 7.5MM X 96"" X 40', STEE","PLATE     ","                  ","   ","106024","766094","6","1771.28","3","0","3","5313.84","09/20/2017","       /    /    ","            ","            ",""
"485","110","11-13M080T40","PLATE, 8MM X 96"" X 40', STEEL,","PLATE     ","                  ","   ","106024","766094","7","1889.24","11","0","11","20781.64","09/20/2017","       /    /    ","            ","            ",""
"485","110","11-13M085T40","PLATE, 8.5MM X 96"" X 40', STEE","PLATE     ","                  ","   ","106024","766094","8","1963.59","6","0","6","11781.54","09/20/2017","       /    /    ","            ","            ",""
"485","110","11-13M100T40","PLATE, 10MM X 96"" X 40', STEEL","PLATE     ","                  ","   ","106024","766094","9","2220.07","17","0","17","37741.19","09/20/2017","       /    /    ","            ","            ",""
"485","110","11-13M110T40","PLATE, 11MM X 96"" X 40', STEEL","PLATE     ","                  ","   ","106024","766094","10","2442.07","12","0","12","29304.84","09/20/2017","       /    /    ","            ","            ",""
"485","110","11-13M120T40","PLATE, 12MM X 96"" X 40', STEEL","PLATE     ","                  ","   ","106024","766094","11","2664.08","3","0","3","7992.24","09/20/2017","       /    /    ","            ","            ",""
"485","110","11-13M125T40","PLATE, 12.5MM X 96"" X 40', STE","PLATE     ","                  ","   ","106024","766094","12","2774.98","1","0","1","2774.98","09/20/2017","       /    /    ","            ","            ",""
"485","110","11-13M130T40","PLATE, 13MM X 96"" X 40', STEEL","PLATE     ","                  ","   ","106024","766094","13","2886.09","3","0","3","8658.27","09/20/2017","       /    /    ","            ","            ",""
