"Ldger Acct","Document","Line","Item","Description","Order","Pos.","Cust/Supp","Quantity","Unit","Amount","Date","Integr Amounts","CLIN","Effort","ECP/REA"
"4505","INV   26236","1","505-03-F9060","FLANGE, BTFL, 4""IPS, CLASS 200","444076","    ","            ","1"," EA ","                ","11/05/2016","150.91","            ","            ",""
"4505","INV   26236","1","505-03-F9037","FLG, 3"", SW, FF, CNA, 90:10,  ","444075","    ","            ","1"," EA ","                ","11/05/2016","217.65","            ","            ",""
"4505","INV   26236","1","505-03-F9033","FLANGE, 6"", NAVY, SW, 70/30   ","444074","    ","            ","1"," EA ","                ","11/05/2016","364.79","            ","            ",""
"4505","INV   26236","1","505-03-F9374","FLANGE, 1/2"" IPS, CUNI 70-30  ","444082","    ","            ","7"," EA ","                ","11/05/2016","2,415.00","            ","            ",""
"4505","INV   26236","1","505-03-H9079","CLAMP, HOSE, SST, TO FIT 13/16","444085","    ","            ","3"," EA ","                ","11/05/2016","2.76","            ","            ",""
"4505","INV   26236","1","505-03-F9062","FLANGE, BTFL,6"" IPS, CLASS 200","444077","    ","            ","1"," EA ","                ","11/05/2016","319.25","            ","            ",""
"4505","INV   26236","1","505-03-F9236","FLANGE, 2"", SW, 70-30 CUNI,   ","444080","    ","            ","3"," EA ","                ","11/05/2016","580.01","            ","            ",""
"4505","INV   26236","1","505-03-F9064","FLANGE, 6"", NAVY, SWLDG       ","444078","    ","            ","1"," EA ","                ","11/05/2016","219.33","            ","            ",""
"4505","INV   26236","1","505-03-F9171","FLANGE, SW, STL, W/MTG KIT, 2""","444079","    ","            ","1"," EA ","                ","11/05/2016","32.5","            ","            ",""
"4505","INV   26236","1","505-03-K9060","GASKET, 1-1/4"", 250# NAVY     ","444093","    ","            ","2"," EA ","                ","11/05/2016","1.1","            ","            ",""
"4505","INV   26236","1","505-03-K9122","GASKET, 3/4"" IPS, 150#, FULL F","444094","    ","            ","9"," EA ","                ","11/05/2016","12.51","            ","            ",""
"4505","INV   26260","9","505-03-U0078","UNION,SLDRXMPT,3/8 NOM CU     ","444157","    ","            ","1"," EA ","14,089.05","11/11/2016","8.68","            ","            ",""
