"Ldger Acct","Document","Line","Item","Description","Order","Pos.","Cust/Supp","Quantity","Unit","Amount","Date","Integr Amounts","CLIN","Effort","ECP/REA"
"4008","API  360281","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","363.85","01/03/2018","363.85","            ","            ",""
"4008","API  360282","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","562.03","01/03/2018","562.03","            ","            ",""
"4008","API  360299","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","87.83","01/03/2018","87.83","            ","            ",""
"4008","API  360308","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","739.02","01/03/2018","739.02","            ","            ",""
"4008","API  360312","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","159.16","01/03/2018","159.16","            ","            ",""
"4008","API  360344","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","90.21","01/03/2018","90.21","            ","            ",""
"4008","API  360352","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","818.67","01/03/2018","818.67","            ","            ",""
"4008","API  360353","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","216.47","01/03/2018","216.47","            ","            ",""
"4008","API  360472","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","90.96","01/05/2018","90.96","            ","            ",""
"4008","API  360473","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","147.8","01/05/2018","147.8","            ","            ",""
"4008","API  360474","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","102.32","01/05/2018","102.32","            ","            ",""
"4008","API  360478","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","545.78","01/09/2018","545.78","            ","            ",""
"4008","API  360484","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","136.45","01/09/2018","136.45","            ","            ",""
"4008","API  360488","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","193.29","01/09/2018","193.29","            ","            ",""
"4008","API  360489","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","181.93","01/09/2018","181.93","            ","            ",""
"4008","API  360544","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","227.41","01/09/2018","227.41","            ","            ",""
"4008","API  360550","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","362","01/09/2018","362","            ","            ",""
"4008","API  360743","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","140.66","01/15/2018","140.66","            ","            ",""
"4008","API  360771","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","170.57","01/15/2018","170.57","            ","            ",""
"4008","API  360779","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","115.85","01/15/2018","115.85","            ","            ",""
"4008","API  360780","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","868.88","01/15/2018","868.88","            ","            ",""
"4008","API  360782","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","314.43","01/15/2018","314.43","            ","            ",""
"4008","API  361147","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","122.92","01/22/2018","122.92","            ","            ",""
"4008","API  361148","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","263.39","01/22/2018","263.39","            ","            ",""
"4008","API  361149","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","210.69","01/22/2018","210.69","            ","            ",""
"4008","API  361152","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","298.48","01/22/2018","298.48","            ","            ",""
"4008","API  361153","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","158.01","01/22/2018","158.01","            ","            ",""
"4008","API  361161","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","386.33","01/22/2018","386.33","            ","            ",""
"4008","API  361241","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","454.73","01/23/2018","454.73","            ","            ",""
"4008","API  361402","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","573.39","01/29/2018","573.39","            ","            ",""
"4008","API  361403","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","85.55","01/29/2018","85.55","            ","            ",""
"4008","API  361404","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","125.02","01/29/2018","125.02","            ","            ",""
"4008","API  361405","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","150.03","01/29/2018","150.03","            ","            ",""
"4008","API  361406","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","458.64","01/29/2018","458.64","            ","            ",""
"4008","API  361411","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","412.61","01/29/2018","412.61","            ","            ",""
"4008","API  361412","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","477.56","01/29/2018","477.56","            ","            ",""
"4008","API  361413","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","955.12","01/29/2018","955.12","            ","            ",""
"4008","API  361414","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","756.46","01/29/2018","756.46","            ","            ",""
"4008","API  361415","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","252.28","01/29/2018","252.28","            ","            ",""
"4008","API  361416","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","243.78","01/29/2018","243.78","            ","            ",""
"4008","API  361417","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","217.9","01/29/2018","217.9","            ","            ",""
"4008","API  361418","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","318.33","01/29/2018","318.33","            ","            ",""
"4008","API  361419","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","517.32","01/29/2018","517.32","            ","            ",""
"4008","API  361420","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","112.51","01/29/2018","112.51","            ","            ",""
"4008","API  361421","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","81.26","01/29/2018","81.26","            ","            ",""
"4008","API  361424","8","                ","                              ","921767","    ","FASTENAL COM","            ","    ","16.88","01/29/2018","16.88","            ","            ",""
"4008","AMI  158146","1","                ","                              ","      ","    ","WESTY'S TRUC","            ","    ","325","02/01/2018","325","            ","            ",""
"4008","AMI  158155","1","                ","                              ","      ","    ","WESTY'S TRUC","            ","    ","600","02/06/2018","600","            ","            ",""
"4008","AMI  158213","11","                ","                              ","      ","    ","TRANS INTERN","            ","    ","13,568.18","02/09/2018","13,568.18","            ","            ",""
"4008","AMI  158317","11","                ","                              ","      ","    ","TRANS INTERN","            ","    ","674.82","02/16/2018","674.82","            ","            ",""
"4008","API  361556","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","500.34","02/01/2018","500.34","            ","            ",""
"4008","API  361589","2","                ","                              ","940932","    ","SCHOELLHORN ","            ","    ","1,150.00","02/01/2018","1,150.00","            ","            ",""
"4008","API  361609","3","                ","                              ","687672","    ","APPLIED INDU","            ","    ","862.79","02/05/2018","862.79","            ","            ",""
"4008","API  361624","5","                ","                              ","787520","    ","APPLIED INDU","            ","    ","22.66","02/05/2018","22.66","            ","            ",""
"4008","API  361686","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","825.23","02/06/2018","825.23","            ","            ",""
"4008","API  361710","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","159.65","02/06/2018","159.65","            ","            ",""
"4008","API  361715","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","586.71","02/06/2018","586.71","            ","            ",""
"4008","API  361716","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","638.61","02/06/2018","638.61","            ","            ",""
"4008","API  361717","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","324.96","02/06/2018","324.96","            ","            ",""
"4008","API  361725","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","243.78","02/06/2018","243.78","            ","            ",""
"4008","API  361730","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","510.9","02/06/2018","510.9","            ","            ",""
"4008","API  361731","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","196.73","02/06/2018","196.73","            ","            ",""
"4008","API  361733","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","379.18","02/06/2018","379.18","            ","            ",""
"4008","API  361778","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","208.83","02/07/2018","208.83","            ","            ",""
"4008","API  361880","1","                ","                              ","653303","    ","MURRAY BENJA","            ","    ","98.42","02/12/2018","98.42","            ","            ",""
"4008","API  361901","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","468.27","02/12/2018","468.27","            ","            ",""
"4008","API  362038","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","176.73","02/13/2018","176.73","            ","            ",""
"4008","API  362039","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","128.52","02/13/2018","128.52","            ","            ",""
"4008","API  362042","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","96.4","02/13/2018","96.4","            ","            ",""
"4008","API  362044","1","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","-85.55","02/13/2018","-85.55","            ","            ",""
"4008","API  362048","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","216","02/13/2018","216","            ","            ",""
"4008","API  362049","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","270","02/13/2018","270","            ","            ",""
"4008","API  362050","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","486","02/13/2018","486","            ","            ",""
"4008","API  362076","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","104.42","02/13/2018","104.42","            ","            ",""
"4008","API  362077","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","210.71","02/13/2018","210.71","            ","            ",""
"4008","API  362078","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","160.96","02/13/2018","160.96","            ","            ",""
"4008","API  362079","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","223.57","02/13/2018","223.57","            ","            ",""
"4008","API  362080","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","842.84","02/13/2018","842.84","            ","            ",""
"4008","API  362081","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","1,123.80","02/13/2018","1,123.80","            ","            ",""
"4008","API  362082","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","386.27","02/13/2018","386.27","            ","            ",""
"4008","API  362083","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","837.75","02/13/2018","837.75","            ","            ",""
"4008","API  362084","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","198.61","02/13/2018","198.61","            ","            ",""
"4008","API  362085","3","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","858.57","02/13/2018","858.57","            ","            ",""
