"Ldger Acct","Document","Line","Item","Description","Order","Pos.","Cust/Supp","Quantity","Unit","Amount","Date","Integr Amounts","CLIN","Effort"
"4505","PUR   37703","16","    505-03-M9112","FITTING, CAMLOCK, 1"", FEMALE  ","687499","3","COLUMBIA PIP","1"," EA ","13.1","12/22/2016","13.1","            ",""
"4505","JE2   19028","169","                ","-510028","      ","    ","            ","            "," EA ","-129,797.30","01/02/2017","-129,797.30","            ",""
"4505","JE2   19142","155","                ","PO # 510028                   ","      ","    ","            ","            "," EA ","129,797.30","01/27/2017","129,797.30","            ",""
"4505","PUR   37846","15","    505-01-P0086","PIPE,STL,3"",PL,SCH 40 IPS 3.50","786634","2","COLUMBIA PIP","22"," LF ","82.5","01/27/2017","82.5","            ",""
"4505","PUR   37846","36","    505-01-M9128","BELLMOUTH, 2-1/2"" X 3"", SSTL  ","940544","7","ALASKAN COPP","6"," EA ","1,530.00","01/27/2017","1,530.00","            ",""
"4505","JE2   19143","157","                ","PO # 510028                   ","      ","    ","            ","            "," EA ","-129,797.30","02/06/2017","-129,797.30","            ",""
"4505","JE2   19205","97","                ","PO # 510028                   ","      ","    ","            ","            "," EA ","129,797.30","02/24/2017","129,797.30","            ",""
"4505","INV   26579","7","    505-03-A9422","BUSHING, REDC, 3/8"" X 1/4"", SW","448694","    ","            ","1"," EA ","-21","02/03/2017","-3","            ",""
"4505","INV   26579","7","    505-03-M9033","WATER, HAMMER ARRESTER, 1/2""  ","448695","    ","            ","1"," EA ","                ","02/03/2017","-18","            ",""
"4505","INV   26625","5","530100-000000001","AIR GAP, FOR BACKFLOW PREVENT ","449170","    ","            ","2"," EA ","193.56","02/16/2017","28.56","            ",""
"4505","INV   26625","5","551102D40000-015","ADAPTER, 1/4"" SAE O-RING X 1/4","449178","    ","            ","1"," EA ","                ","02/16/2017","165","            ",""
"4505","INV   26625","20","551102D40000-015","ADAPTER, 1/4"" SAE O-RING X 1/4","449190","    ","            ","1"," EA ","-165","02/16/2017","-165","            ",""
"4505","INV   26626","1","530100-000000001","AIR GAP, FOR BACKFLOW PREVENT ","449209","    ","            ","2"," EA ","-28.56","02/16/2017","-28.56","            ",""
"4505","INV   26637","12","    505-01-00106","TUBE, SQ., 1 X 1 X 1/8, ALUM  ","448872","    ","            ","18"," LF ","-85.86","02/16/2017","-85.86","            ",""
"4505","INV   26641","12","    505-03-U9050","UNION, SST, 316L, SWAGELOK    ","449183","    ","            ","2"," EA ","-134","02/16/2017","-134","            ",""
"4505","INV   26641","15","    505-03-A9268","ADAPTER, 1/4"" SAE O-RING X 1/4","449190","    ","            ","1"," EA ","165","02/16/2017","165","            ",""
"4505","INV   26642","1","    505-03-M9024","AIR GAP, FOR BACKFLOW PREVENT ","449209","    ","            ","2"," EA ","28.56","02/16/2017","28.56","            ",""
"4505","INV   26661","4","550502280200-00H","COUPLING, 3/8"" IPS, SILB, 400 ","449427","    ","            ","3"," EA ","187.7","02/24/2017","35.7","            ",""
"4505","INV   26661","4","       55483-002","SLEEVE, PIPE, 3/8"" IPS, ALUM  ","449428","    ","            ","1"," EA ","                ","02/24/2017","39","            ",""
"4505","INV   26661","4","808800-000000001","WATER HAMMER ARRESTOR, 3/4"" NP","449430","    ","            ","1"," EA ","                ","02/24/2017","21","            ",""
"4505","INV   26661","4","551104120201-001","UNION, 1/4"" IPS, 400 PSI WOG, ","449424","    ","            ","2"," EA ","                ","02/24/2017","92","            ",""
"4505","INV   26661","15","808800-000000001","WATER HAMMER ARRESTOR, 3/4"" NP","449449","    ","            ","1"," EA ","-187.7","02/24/2017","-21","            ",""
"4505","INV   26661","15","550502280200-00H","COUPLING, 3/8"" IPS, SILB, 400 ","449447","    ","            ","3"," EA ","                ","02/24/2017","-35.7","            ",""
